asdf_id,access_50k.none.mean,access_50k.none.max,access_50k.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
527,179.045646952,738.0,4.0,ADM3,527,527,ETH,ETH-ADM3-50319843B17000960,Walmara,ADM3
528,230.665568038,654.0,8.0,ADM3,528,528,ETH,ETH-ADM3-50319843B6479564,Akaki,ADM3
529,271.644015902,865.0,23.0,ADM3,529,529,ETH,ETH-ADM3-50319843B61155448,Bereh,ADM3
530,287.972679516,977.0,6.0,ADM3,530,530,ETH,ETH-ADM3-50319843B66526861,Sululta,ADM3
531,134.511980196,398.0,2.0,ADM3,531,531,ETH,ETH-ADM3-50319843B31027403,Alem Gena,ADM3
532,323.952853602,1135.0,0.0,ADM3,532,532,ETH,ETH-ADM3-50319843B76329612,Basona Worena,ADM3
533,424.870147732,915.0,104.0,ADM3,533,533,ETH,ETH-ADM3-50319843B77399443,Ensaro,ADM3
534,26.5709357041,209.0,0.0,ADM3,534,534,ETH,ETH-ADM3-50319843B16938888,Akaki - Kalit,ADM3
535,10.3961023426,142.0,0.0,ADM3,535,535,ETH,ETH-ADM3-50319843B76069152,Kolfe - Keran,ADM3
536,757.343011023,1632.0,243.0,ADM3,536,536,ETH,ETH-ADM3-50319843B80520857,"Hawi Gudina
",ADM3
537,717.098243445,1415.0,207.0,ADM3,537,537,ETH,ETH-ADM3-50319843B38327477,Daro Lebu,ADM3
538,1080.4601667,1694.0,510.0,ADM3,538,538,ETH,ETH-ADM3-50319843B75283768,Hargele,ADM3
539,501.924203152,984.0,186.0,ADM3,539,539,ETH,ETH-ADM3-50319843B77045684,Bidu,ADM3
540,464.574434629,1143.0,230.0,ADM3,540,540,ETH,ETH-ADM3-50319843B94745738,Kurri,ADM3
541,264.119355367,605.0,81.0,ADM3,541,541,ETH,ETH-ADM3-50319843B99488407,Adaa'r,ADM3
542,331.540437251,784.0,184.0,ADM3,542,542,ETH,ETH-ADM3-50319843B84620733,Yeki,ADM3
543,669.668017959,1191.0,72.0,ADM3,543,543,ETH,ETH-ADM3-50319843B95429821,Menjiwo,ADM3
544,204.677061232,402.0,122.0,ADM3,544,544,ETH,ETH-ADM3-50319843B70540990,Kacha Bira,ADM3
545,544.313707073,997.0,252.0,ADM3,545,545,ETH,ETH-ADM3-50319843B24802420,Tembaro,ADM3
546,1297.83556904,2668.0,83.0,ADM3,546,546,ETH,ETH-ADM3-50319843B90067273,Decha,ADM3
547,1242.76151591,2487.0,552.0,ADM3,547,547,ETH,ETH-ADM3-50319843B52055462,Menit Shasha,ADM3
548,743.845876129,1983.0,37.0,ADM3,548,548,ETH,ETH-ADM3-50319843B12508300,Ela (Konta) SP Woreda,ADM3
549,1598.81059696,2375.0,420.0,ADM3,549,549,ETH,ETH-ADM3-50319843B39712279,Cheta,ADM3
550,562.885266698,1369.0,95.0,ADM3,550,550,ETH,ETH-ADM3-50319843B59079339,Loma Bosa,ADM3
551,596.905652495,1193.0,59.0,ADM3,551,551,ETH,ETH-ADM3-50319843B93756049,Boreda,ADM3
552,241.13294295,753.0,74.0,ADM3,552,552,ETH,ETH-ADM3-50319843B7086884,Sodo,ADM3
553,209.212228004,484.0,109.0,ADM3,553,553,ETH,ETH-ADM3-50319843B8648547,Abeshege,ADM3
554,1179.67156355,1622.0,589.0,ADM3,554,554,ETH,ETH-ADM3-50319843B43751687,Kokir Gedbano,ADM3
555,298.784268885,891.0,100.0,ADM3,555,555,ETH,ETH-ADM3-50319843B30446360,Meskan,ADM3
556,319.416736709,661.0,136.0,ADM3,556,556,ETH,ETH-ADM3-50319843B75643348,Cheha,ADM3
557,653.768425159,1579.0,142.0,ADM3,557,557,ETH,ETH-ADM3-50319843B98382194,South Ari (Bako Gazer),ADM3
558,737.655587753,1213.0,166.0,ADM3,558,558,ETH,ETH-ADM3-50319843B84944842,Enemorina Eaner,ADM3
559,550.842968154,914.0,219.0,ADM3,559,559,ETH,ETH-ADM3-50319843B52744102,Alicho Woriro,ADM3
560,274.893006688,569.0,98.0,ADM3,560,560,ETH,ETH-ADM3-50319843B54910590,Selti,ADM3
561,409.113950159,808.0,73.0,ADM3,561,561,ETH,ETH-ADM3-50319843B30244990,Yem SP Woreda,ADM3
562,715.301031281,1079.0,226.0,ADM3,562,562,ETH,ETH-ADM3-50319843B99875669,Gibe,ADM3
563,426.620230904,975.0,101.0,ADM3,563,563,ETH,ETH-ADM3-50319843B83053130,Lanfero,ADM3
564,1161.17847379,2207.0,243.0,ADM3,564,564,ETH,ETH-ADM3-50319843B15681579,Gesha (Deka),ADM3
565,324.434785207,768.0,145.0,ADM3,565,565,ETH,ETH-ADM3-50319843B70283745,Wilbareg,ADM3
566,545.027806724,1032.0,183.0,ADM3,566,566,ETH,ETH-ADM3-50319843B66178330,Soro,ADM3
567,633.875990426,1801.0,239.0,ADM3,567,567,ETH,ETH-ADM3-50319843B33645640,Masha,ADM3
