id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
3157,HAAB,large_airport,"Addis Ababa Bole International Airport",8.97789,38.799301,7630,AF,Ethiopia,ET,"Addis Ababa",ET-AA,AA,"Addis Ababa",1,HAAB,ADD,,http://www.ethiopianairports.com,https://en.wikipedia.org/wiki/Bole_International_Airport,"Haile Selassie I, Bole International Airport",1050,2021-10-07T10:43:07+00:00
3162,HADR,medium_airport,"Aba Tenna Dejazmach Yilma International Airport",9.624699592590332,41.85419845581055,3827,AF,Ethiopia,ET,"Dire Dawa",ET-DD,DD,"Dire Dawa",1,HADR,DIR,,,https://en.wikipedia.org/wiki/Aba_Tenna_Dejazmach_Yilma_International_Airport,,750,2008-06-13T14:30:04+00:00
3164,HAGN,medium_airport,"Gondar Airport",12.5199,37.433998,6449,AF,Ethiopia,ET,"Amhara Region",ET-AM,AM,Azezo,1,HAGN,GDQ,,,https://en.wikipedia.org/wiki/Gondar_Airport,"Atse Tewodros,, Emperor Tewodros",750,2022-09-25T21:11:08+00:00
3161,HABD,medium_airport,"Bahir Dar Airport",11.6081,37.321602,5978,AF,Ethiopia,ET,"Amhara Region",ET-AM,AM,"Bahir Dar",1,HABD,BJR,,,https://en.wikipedia.org/wiki/Bahir_Dar_Airport,"Dejazmach Belay Zeleke",750,2022-09-25T21:11:55+00:00
3167,HALL,small_airport,"Lalibella Airport",11.975000381469727,38.97999954223633,6506,AF,Ethiopia,ET,"Amhara Region",ET-AM,AM,Lalibela,0,HALL,LLI,,,https://en.wikipedia.org/wiki/Lalibela_Airport,,50,2008-06-13T14:30:04+00:00
3159,HAAM,medium_airport,"Arba Minch Airport",6.0393900871276855,37.59049987792969,3901,AF,Ethiopia,ET,"Southern Nations, Nationalities, and Peoples' Region",ET-SN,SN,,1,HAAM,AMH,,,https://en.wikipedia.org/wiki/Arba_Minch_Airport,"Gantar,Minghi",750,2008-06-13T14:30:04+00:00
3168,HAMK,medium_airport,"Mekele Airport",13.467399597167969,39.53350067138672,7396,AF,Ethiopia,ET,"Tigray Region",ET-TI,TI,,0,HAMK,MQX,,,https://en.wikipedia.org/wiki/Alula_Aba_Airport,,250,2008-06-13T14:30:04+00:00
3160,HAAX,medium_airport,"Axum Airport",14.1468,38.7728,6959,AF,Ethiopia,ET,"Tigray Region",ET-TI,TI,Axum,1,HAAX,AXU,,,https://en.wikipedia.org/wiki/Axum_Airport,"Aksum, Emperor Yohannes IV Airport",750,2022-09-25T21:03:36+00:00
3169,HASO,medium_airport,"Asosa Airport",10.018500328063965,34.586299896240234,5100,AF,Ethiopia,ET,"Benishangul-Gumuz Region",ET-BE,BE,Asosa,1,HASO,ASO,,,https://en.wikipedia.org/wiki/Asosa_Airport,,750,2008-06-13T14:30:04+00:00
3166,HAJM,medium_airport,"Jimma Airport",7.66609001159668,36.81660079956055,5500,AF,Ethiopia,ET,"Oromia Region",ET-OR,OR,Jimma,1,HAJM,JIM,,,https://en.wikipedia.org/wiki/Aba_Segud_Airport,,750,2008-06-13T14:30:04+00:00
