IncidentDate,Time,MGRS,Latitude,Longitude,Adm2,Adm0,Explosion?,ExplosionType,Attacks?,IncidentType,GroupInitiating,Targets,IncidentCategory,Description,DeathCount,InjuredCount,CivilianInjuries?,Within5km?,Source,Adm1,ConflictOrCrimeOriented
5/12/2024,,36PXQ4042405741,8.191959,34.274777,Gambella,Gambella,No,,Yes,Armed Clash,ENDF & Nuer community,Unclear,Crime,"on may 12 a heavy fighting broke out between the ENDF and Nuer community in Pulkoat kebele of Itang Woreda. As a result, 15 people were killed and 20 wounded from both sides, ENDF soldiers and civilians.",12,20,Yes,No,,Itang,conflict oriented
5/11/2024,,37PCN2567581992,11.592593,37.401179,Bahirddar,Amhara,Yes,,Yes,Armed Clash,UAG,Bar & Resturant,Explosive/Remote Violence,"on May 11th, explosions possibly from grenade attacks occurred in four different locations within Bahirdar city, and similar incident happened at the Infinity bar and restaurant in Kebele 18 Gonder city An unconfirmed number of casualties and injuries have been reported as a result of these incidents.",0,Unknown,Yes,No,,North Gojjam,crime/conflict oriented
5/8/2024,,37PBP5691894782,12.607638,36.762388,Negade Bahir,Amhara,No,,Yes,Kidnapping,UAG,NGO Vehicles,Crime,"reports indicate that buses and light vehicles, rental vehicles belonging to an NGO have been shot at by Unidentified Armed Group (UAG) in Chilga Woreda, West Gondar Zone, while traveling from Gonder to Metema. According to reports, there have been fatalities and injuries, and an unknown number of passengers have been abducted.",Unknown,Unknown,Yes,No,,West Gonder,crime orineted
4/29/2024,,37NDJ8857438080,7.581923,38.896423,Munesa,Oromia,No,,Yes,Kidnapping,OLA,District cabinet member families,Crime,On April 29 it was reported that one of the Woreda?s cabinet member families (spouse & Kids) have been kidnapped allegedly by OLA and their whereabout is unknown.,0,0,No,No,,West Arsi,crime oriented
4/28/2024,,37NEJ1725956861,7.751791,39.156524,Sagure,Oromia,No,,Yes,Crime/Killing,OLA,District employees,Crime,"April 28,2024 in Arsi zone, Sagure town at around 2220pm three woreda finance office employees have been taken from home and killed allegedly by OLA.One week ago, the employees have received a verbal warning from unknown callers stating that the employees should stop collecting taxes from the community.",3,0,No,No,,Arsi Zone,crime oriented
4/26/2024,,37PEN6931830312,11.128953,39.634794,Dessie,Amhara,Yes,,Yes,Armed Clash,Unidentifed,Unclear,Explosive/Remote Violence,"Reportedly, an explosion, possibly from a grenade attack, occurred on April 26th near the Woreda 5 Police station in Dessie town, the administrative seat of the South Wollo Zone. Following the incident, brief gunfire was heard in the vicinity, further intensifying the security situation. Additionally, over the weekend, rising tensions were observed in the Tsehay Mewucha locality in Delanta woreda and various other localities in Ambassel woreda of the south wollo zone.",0,0,No,No,,South Wollo,crime/conflict oriented
4/24/2024,,37PDL1813986848,9.831274,38.253465,Were Jarso,Oromia,No,,Yes,Kidnapping,UAG,Passangers,Crime,"Reports indicate that passengers travelling from Amhara region to Addis Ababa have been kidnapped in Oromia region, Wora Jarso woreda between Goha Tsion & Tulu Miliki area.",0,0,No,No,,West Shewa,crime oriented
4/23/2024,,37PDN1486783641,11.610865,38.219082,Agona,Amhara,No,,Yes,Armed Clash,FANO & ENDF,,Crime,"April 23 rd Addis standard reported that In the town of Agona, Este Woreda, South Gondar Zone, Amhara Region, clashes between Fano militants and government forces on April 15th resulted in the death of five civilians and the burning of 18 homes. Eyewitnesses attributed the violence to a sudden encounter between the two groups, leading to government forces allegedly targeting civilians under suspicion of supporting Fano.",0,0,No,No,Addis Standard,South Gonder,conflict oriented
4/22/2024,,37PCN2421881444,11.587565,37.387841,Bahir Dar,Amhara,Yes,,Yes,Crime/Killing,UAG,Unclear,Explosive/Remote Violence,"On April 22, late afternoon, there were three explosions, possibly resulting from a grenade attack, in various locations within Bahir Dar City. Allegedly, the following explosions occurred: the first one near Homeland Hotel in Kebele 16, the second one close to Sidestegna Police Station, and the third one close to the Amhara Media Corporation. Notably, these three explosions took place within a 100-meter radius of one another. A similar incident occurred on Saturday, April 20th, in Kebele 14, bringing the total number of attacks to four within a span of three days",0,0,No,No,,North Gojjam,crime/conflict oriented
4/15/2024,,37PEP6048772754,12.417237,39.556508,Alamata,Amhara/Tigray,No,,Yes,Armed Clash,Tigray & Amhara forces,,Crime,"On April 15th, incidents of conflict involving armed groups from Tigray and Amhara forces were reported across several locations within the disputed Raya woredas. Notable incidents included gunfire in Tao town and Golajo Jewergs within Raya Alamata Woreda, and in Baso and Quleta in Raya Chercher woreda. Tensions increased in Alamata town after tigray forces were reported approaching Gual Ajo, located approximately three kilometers from the town. Federal forces reportedly intervened to halt Tigray forces from entering Alamata town with weapons. Additional clashes were reported in Maedo-Korem and Adi-Neba.",0,0,No,No,,Alamata,conflict oriented
