Location,QuadKey,Url,Size
Ethiopia,122330130,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330130/part-00043-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,6.8MB
Ethiopia,122330131,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330131/part-00125-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,16.2MB
Ethiopia,122330132,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330132/part-00184-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,19.5MB
Ethiopia,122330133,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330133/part-00165-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,82.5MB
Ethiopia,122330210,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330210/part-00020-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,2.8MB
Ethiopia,122330211,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330211/part-00048-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,14.1KB
Ethiopia,122330212,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330212/part-00196-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,13.4KB
Ethiopia,122330221,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330221/part-00112-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,333.1KB
Ethiopia,122330223,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330223/part-00183-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,539.0B
Ethiopia,122330230,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330230/part-00066-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,4.6KB
Ethiopia,122330311,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330311/part-00009-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,1.7MB
Ethiopia,122330323,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330323/part-00015-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,8.1MB
Ethiopia,122330331,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330331/part-00151-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,7.9MB
Ethiopia,122330332,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330332/part-00159-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,6.5KB
Ethiopia,122330333,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122330333/part-00156-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,6.2KB
Ethiopia,122331000,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331000/part-00162-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,16.5MB
Ethiopia,122331001,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331001/part-00181-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,296.4KB
Ethiopia,122331002,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331002/part-00191-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,9.2MB
Ethiopia,122331003,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331003/part-00176-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,269.5KB
Ethiopia,122331010,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331010/part-00173-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,1017.0B
Ethiopia,122331012,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331012/part-00186-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,30.7KB
Ethiopia,122331020,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331020/part-00010-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,5.8MB
Ethiopia,122331021,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331021/part-00090-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,1.5MB
Ethiopia,122331022,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331022/part-00069-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,5.6MB
Ethiopia,122331023,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331023/part-00149-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,7.6MB
Ethiopia,122331030,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331030/part-00175-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,6.3MB
Ethiopia,122331031,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331031/part-00137-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,16.0KB
Ethiopia,122331032,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331032/part-00172-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,4.9MB
Ethiopia,122331033,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331033/part-00105-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,3.0MB
Ethiopia,122331100,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331100/part-00015-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,39.9KB
Ethiopia,122331120,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331120/part-00089-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,7.0MB
Ethiopia,122331121,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331121/part-00155-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,1.8KB
Ethiopia,122331122,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331122/part-00166-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,233.5KB
Ethiopia,122331200,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331200/part-00078-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,1.6MB
Ethiopia,122331201,https://minedbuildings.blob.core.windows.net/global-buildings/2022-10-22/global-buildings.geojsonl/RegionName%3DEthiopia/quadkey%3D122331201/part-00092-0bb2b168-55d3-4db4-8ea5-fee18b0aa622.c000.csv.gz,1.4MB
