event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ETH10513,2023-08-27,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Police Forces of Ethiopia (2018-) Oromia State Police","Kebele Communal Militia (Ethiopia)",1,13,,231,"Eastern Africa",Ethiopia,Oromia,"North Shewa",Dera,"Gundo Meskel",10.2500,38.7333,2,"Oromiya Media Network",International,"On 27 August 2023, Fano Militias clashed with Oromia regional security forces (assumed to be Oromia Regional State Police and Kebele Communal Militias) in Tuti, Goda Chefe, Miti Kora, Denyu and other unknown kebeles (all locations coded to admin center, Gundo Meskel), in Dera woreda (North Shewa, Oromia), after crossing the Amhara-Oromia border from four directions. The fighting resulted in an unknown number of people killed and wounded. An unidentified number of fatalities coded as 3.",3,,1693863642
ETH10514,2023-08-27,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Police Forces of Ethiopia (2018-) Oromia State Police","Kebele Communal Militia (Ethiopia)",1,13,,231,"Eastern Africa",Ethiopia,Oromia,"North Shewa",Dera,Selelkula,10.1371,38.4933,1,"Oromiya Media Network",International,"On 27 August 2023, in a fighting that lasted for two days, Fano Militias clashed with Oromia regional security forces (assumed to be Oromia Regional State Police and Kebele Communal Militias) in Selelkula, Dera woreda (North Shewa, Oromia), after crossing the Amhara-Oromia border from four directions. The fighting resulted in an unknown number of people killed and wounded. An unidentified number of fatalities coded as 3.",3,,1693863642
ETH10496,2023-08-26,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"East Gojam","Debre Markos town","Debre Markos",10.3500,37.7333,1,"EMS; Undisclosed Source; VOA","Local partner-Other","On 26 August 2023, in a fighting that lasted for three days, ENDF clashed with Fano militias in Debre Markos town, Debre Markos (East Gojam, Amhara), resulting in at least 10-100 people (including civilians and combatants) getting killed and an unknown others wounded. Fatalities split into three events and coded as 3.",3,,1693863642
ETH10497,2023-08-26,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"North Gondar","Dabat town",Dabat,12.9810,37.7620,2,EMS,Other,"On 26 August 2023, Fano militia continued to clash with ENDF around Enkash and Ajire. Casualties unknown. Location not found, coded at Dabat town (North Gondar, Amhara).",0,,1693863642
ETH10498,2023-08-26,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Gondar","Debre Tabor town","Debre Tabor",11.8500,38.0166,1,"Addis Maleda; BBC News; Deutsche Welle; TIKVAH Ethiopia; Undisclosed Source; VOA","Local partner-Other","On 26 August 2023, in a fighting that lasted for three days, ENDF clashed with Fano militias in Debre Tabor town, Debre Tabor (South Gondar, Amhara), resulting in at least 10 people (including civilians and combatants) getting killed and an unknown number of people wounded after Fano militias entered the town and opened fire on ENDF military camp. Artilleries allegedly hit Debre Tabor Specialized Hospital and damaged windows, injured hospital guards and civilians, 'including around 27 youths who were around the hospital'. Fatalities split into 3 events and coded as 4.",4,,1693863642
ETH10499,2023-08-26,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Gondar",Ebenat,Ibnat,12.1333,38.0500,2,EMS,Other,"On 26 August 2023, Fano militia continued to clash with ENDF in and around Ibnat town (Ebenat, South Gondar, Amhara). Casualties unknown.",0,,1693863642
ETH10500,2023-08-26,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Military Forces of Ethiopia (2018-)",,1,13,,231,"Eastern Africa",Ethiopia,Amhara,"South Gondar","Woreta town",Wereta,11.9167,37.7000,2,EMS,Other,"On 26 August 2023, Fano militia continued to clash with ENDF in and around Wereta town (Woreta town, South Gondar, Amhara). Casualties unknown.",0,,1693863642
ETH10501,2023-08-26,2023,1,"Political violence","Violence against civilians",Attack,"Police Forces of Ethiopia (2018-) Amhara State Police",,1,"Civilians (Ethiopia)","Government of Ethiopia (2018-)",7,17,"Civilian targeting",231,"Eastern Africa",Ethiopia,Amhara,"West Gojam","Bahir Dar town","Bahir Dar",11.6000,37.3833,2,EMS,Other,"On 26 August 2023, the mayor of Debre Tabor was arrested by security forces (assumed to be Amhara police). Security forces beat the mayor when arresting him. A day before his arrest, the mayor expressed his views during the regional council meeting, which seemed to be against the government narrative on the Amhara conflict. During this meeting, he stated his disagreement with integrating the Amhara regional special force, detailed the Amhara people's questions and distrust of the current regional government, and asked the regional council to ask for forgiveness from the people to stabilize the region. The location of the arrest is unknown, coed at the capital of Amhara region, Bahir Dar town (west Gojam, Amhara).",0,"local administrators",1693863642
ETH10502,2023-08-26,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Ethiopia (2018-)",,1,"Fano Youth Militia",,3,13,,231,"Eastern Africa",Ethiopia,Amhara,"West Gojam","Finote Selam town","Finote Selam",10.7000,37.2667,1,"Addis Standard; VOA",National-International,"On 26 August 2023, in a fighting that lasted for two days, ENDF clashed with Fano militias in Finote Selam, Finote Selam town (West Gojam, Amhara), resulting in an unknown number of people getting killed, following the blockade of roads by Fano supporters in the town. Unidentified fatalities coded as 3.",3,,1693863642
ETH10503,2023-08-26,2023,1,"Political violence",Battles,"Armed clash","Fano Youth Militia",,3,"Police Forces of Ethiopia (2018-) Oromia State Police","Kebele Communal Militia (Ethiopia)",1,13,,231,"Eastern Africa",Ethiopia,Oromia,"North Shewa","Abichugna Gnea",Gamo,9.7005,39.1463,1,"Deutsche Welle; Oromiya Media Network; VOA",International,"On 26 August 2023, Fano militiamen clashed with Oromia Regional State police forces and Kebele militias in Gamo/Amanite Gamo kebele, Abichugna Gnea woreda (North Shewa, Oromia) and Neseri Menehoro kebele (coded separately), resulting in over 20 Fano militias getting killed and over 50 wounded. The armed group crossed in to Oromia region from Deneba and Anchekorer towns of Amhara region. Fatalities split into two events, coded as 10.",10,,1693863642
